62.4, 13.624298095703125
16.8, 338.7686462402344
60.0, -16697.6953125
12.2, 2600.75048828125
29.2, -2965.19140625
40.4, 271845.1875
29.2, 38714.81640625
76.8, -32485.111328125
28.4, -10393.580078125
34.8, 12805.341796875
10.2, -6425.4091796875
12.0, -4327.69287109375
18.8, -5337.55126953125
74.6, 12483.689453125
57.0, -60230.703125
64.8, 32743.017578125
81.2, 8758.8955078125
87.8, -2647.217041015625
10.2, -6556.20703125
24.2, -25446.255859375
62.4, -8976.55859375
16.8, -5453.87548828125
60.0, -6643.4580078125
12.2, -472.8786926269531
29.2, 163.9542694091797
40.4, -63483.90234375
29.2, 19493.4296875
76.8, -106562.734375
28.4, 58381.0546875
34.8, 45477.62890625
10.2, 11956.4189453125
12.0, 2146.3759765625
18.8, 4162.11181640625
74.6, 9703.099609375
57.0, 11119.6748046875
64.8, 5161.8466796875
81.2, 30436.236328125
87.8, 23337.349609375
10.2, 8790.6728515625
24.2, 10862.4287109375
62.4, 25916.94140625
16.8, 8485.439453125
60.0, 7951.15087890625
12.2, 882.5831298828125
29.2, 145.40817260742188
40.4, -7489.150390625
29.2, -11254.1806640625
76.8, -16115.525390625
28.4, -9891.1240234375
34.8, -1641.2684326171875
10.2, 1431.5159912109375
12.0, 2102.80029296875
18.8, 8667.017578125
74.6, 17766.771484375
57.0, 14858.7861328125
64.8, 4454.828125
81.2, 2151.534423828125
87.8, 245.6931610107422
10.2, 45.9528694152832
24.2, 1150.6365966796875
62.4, -1633.0751953125
16.8, 1120.4169921875
60.0, 3681.712646484375
12.2, 404.2713317871094
29.2, 538.5591430664062
40.4, -4669.130859375
29.2, 20325.990234375
76.8, -5788.26025390625
28.4, -6369.46826171875
34.8, -3607.988525390625
10.2, -1227.46044921875
12.0, -549.8341064453125
18.8, -1145.1971435546875
74.6, -1654.9486083984375
57.0, -1181.6275634765625
64.8, -289.2718811035156
81.2, 18.928213119506836
87.8, 630.3390502929688
10.2, 232.5111083984375
24.2, 317.1446838378906
62.4, 824.834716796875
16.8, 360.9461364746094
60.0, 476.30792236328125
12.2, 114.67522430419922
29.2, 252.65530395507812
40.4, 969.5947875976562
29.2, 786.79345703125
76.8, 894.555908203125
28.4, 645.3934936523438
34.8, 339.9288024902344
10.2, 127.35713958740234
12.0, 70.9843978881836
18.8, 131.4346923828125
74.6, 186.45803833007812
57.0, 154.275634765625
64.8, 65.70631408691406
81.2, 47.60309600830078
87.8, 26.144508361816406
10.2, 9.29096794128418
24.2, -0.918382465839386
62.4, -45.430938720703125
16.8, -15.077339172363281
60.0, -33.03834533691406
12.2, 8.399324417114258
29.2, -17.565189361572266
40.4, -143.6643524169922
29.2, -131.98716735839844
76.8, -178.9329376220703
28.4, -147.02719116210938
34.8, -82.7576675415039
10.2, -21.482940673828125
12.0, -4.851184844970703
18.8, -44.71071243286133
74.6, -91.73973846435547
57.0, -73.97157287597656
64.8, -10.935975074768066
81.2, 14.586106300354004
87.8, 72.26087951660156
10.2, 47.845394134521484
24.2, 65.96068572998047
62.4, 157.1611328125
16.8, 69.66805267333984
60.0, 80.54109954833984
12.2, 32.037532806396484
29.2, 40.564781188964844
40.4, 86.60597229003906
29.2, 31.82577896118164
76.8, -20.83478355407715
28.4, 12.528539657592773
34.8, 33.73387908935547
10.2, 33.51667404174805
12.0, 30.870189666748047
18.8, 61.0957145690918
74.6, 112.98223114013672
57.0, 119.94525909423828
64.8, 55.80162811279297
81.2, 46.21126174926758
87.8, 50.11159896850586
10.2, 27.64141273498535
24.2, 29.464181900024414
62.4, 47.3425178527832
16.8, 31.113821029663086
60.0, 38.00259780883789
12.2, 25.56941795349121
29.2, 32.02020263671875
40.4, 88.62187194824219
29.2, 65.80687713623047
76.8, 46.73095703125
28.4, 31.061134338378906
34.8, 18.13357925415039
10.2, 17.297744750976562
12.0, 16.63286018371582
18.8, 9.685214042663574
74.6, 2.557964324951172
57.0, 22.64084815979004
64.8, 37.517189025878906
81.2, 67.37763214111328
87.8, 141.3462371826172
10.2, 53.25321578979492
24.2, 57.04771423339844
62.4, 108.93292236328125
16.8, 48.40919876098633
60.0, 51.24604797363281
12.2, 26.262475967407227
29.2, 28.861948013305664
40.4, 55.840545654296875
29.2, 35.60418701171875
76.8, 20.343456268310547
28.4, 27.831953048706055
34.8, 27.63839340209961
10.2, 24.880006790161133
12.0, 23.12651824951172
18.8, 32.50627136230469
74.6, 51.534912109375
57.0, 66.2628402709961
64.8, 46.948211669921875
81.2, 60.27803421020508
87.8, 103.51860809326172
10.2, 42.04914474487305
24.2, 44.54500198364258
62.4, 80.22444915771484
16.8, 40.043216705322266
60.0, 44.396602630615234
12.2, 25.716991424560547
29.2, 29.58489418029785
40.4, 67.25305938720703
29.2, 48.58103942871094
76.8, 35.389591217041016
28.4, 32.395809173583984
34.8, 24.891223907470703
10.2, 21.79083251953125
12.0, 20.231916427612305
18.8, 21.901044845581055
74.6, 28.101736068725586
57.0, 43.41581726074219
64.8, 40.41745376586914
81.2, 60.180904388427734
87.8, 115.25081634521484
10.2, 46.71599197387695
24.2, 50.90474319458008
62.4, 97.3519287109375
16.8, 46.14524841308594
60.0, 51.29726791381836
12.2, 26.845266342163086
29.2, 31.746326446533203
40.4, 73.35028839111328
29.2, 49.62948989868164
76.8, 31.532472610473633
28.4, 26.27645492553711
34.8, 20.822574615478516
10.2, 20.203760147094727
12.0, 19.354793548583984
18.8, 19.694730758666992
74.6, 24.573104858398438
57.0, 40.621253967285156
64.8, 39.86985778808594
81.2, 60.60530471801758
87.8, 117.23970031738281
